profession,ID
1,210
1,215
1,223
1,238
1,244
1,247
1,249
1,262
1,265
1,284
1,292
1,294
1,306
1,317
1,319
1,320
1,329
1,336
1,355
1,356
1,359
1,364
1,387
1,399
2,234
2,240
2,263
2,282
2,312
2,313
2,342
2,344
2,349
2,363
2,366
2,375
2,381
3,202
3,220
3,227
3,230
3,233
3,235
3,241
3,255
3,283
3,311
3,352
3,379
4,207
4,211
4,213
4,224
4,226
4,229
4,257
4,266
4,271
4,272
4,277
4,295
4,299
4,332
4,341
4,371
4,386
4,389
5,203
5,253
5,278
5,280
5,301
5,309
5,318
5,321
5,323
5,337
5,353
5,390
5,396
6,124
6,153
6,198
6,201
6,205
6,209
6,218
6,222
6,225
6,232
6,259
6,269
6,287
6,300
6,303
6,314
6,327
6,331
6,333
6,340
6,343
6,354
6,361
6,369
6,376
