profession,ID
1,46
1,285
1,1345
1,1375
1,1388
1,1410
2,37
2,1254
2,1261
2,1423
3,107
3,286
3,324
3,960
3,975
3,1230
3,1259
3,1412
4,41
4,139
4,147
4,168
4,174
4,928
4,929
4,953
4,968
4,1014
4,1023
4,1082
4,1152
4,1190
4,1418
5,82
5,936
5,966
5,1028
5,1032
5,1109
5,1134
5,1161
5,1187
5,1231
5,1255
5,1283
5,1289
5,1322
5,1437
6,328
6,347
6,976
6,1027
6,1033
6,1047
6,1050
6,1111
6,1114
6,1148
6,1162
6,1235
6,1307
6,1335
6,1356
7,16
7,940
7,972
7,1029
7,1060
7,1091
7,1149
7,1160
7,1202
7,1204
7,1229
7,1248
7,1281
7,1308
7,1309
7,1348
7,1416
7,1438
8,80
8,297
8,380
8,920
8,986
8,1006
8,1026
8,1068
8,1094
8,1216
8,1242
8,1301
8,1415
