profession,ID
1,2
1,3
1,5
1,24
1,31
1,33
1,48
1,81
1,85
1,86
1,87
1,97
1,99
1,118
1,121
1,134
1,140
1,150
1,162
1,172
2,34
2,35
2,49
2,59
2,70
2,84
2,102
2,103
2,104
2,114
2,148
2,149
2,154
2,183
3,8
3,23
3,30
3,36
3,53
3,83
3,127
3,128
3,138
3,141
3,166
3,184
3,191
4,4
4,6
4,7
4,12
4,22
4,32
4,44
4,51
4,56
4,66
4,88
4,108
4,133
4,169
4,194
5,20
5,28
5,38
5,42
5,43
5,65
5,68
5,77
5,90
5,94
5,95
5,105
5,155
5,156
5,157
5,163
5,196
6,18
6,27
6,52
6,73
6,78
6,110
6,117
6,123
6,131
6,171
6,197
profession,ID
1,2
1,3
1,5
1,24
1,31
1,33
1,48
1,81
1,85
1,86
1,87
1,97
1,99
1,118
1,121
1,134
1,140
1,150
1,162
1,172
2,34
2,35
2,49
2,59
2,70
2,84
2,102
2,103
2,104
2,114
2,148
2,149
2,154
2,183
3,8
3,23
3,30
3,36
3,53
3,83
3,127
3,128
3,138
3,141
3,166
3,184
3,191
4,4
4,6
4,7
4,12
4,22
4,32
4,44
4,51
4,56
4,66
4,88
4,108
4,133
4,169
4,194
5,20
5,28
5,38
5,42
5,43
5,65
5,68
5,77
5,90
5,94
5,95
5,105
5,155
5,156
5,157
5,163
5,196
6,18
6,27
6,52
6,73
6,78
6,110
6,117
6,123
6,131
6,171
6,197
profession,ID
1,2
1,3
1,5
1,24
1,31
1,33
1,48
1,81
1,85
1,86
1,87
1,97
1,99
1,118
1,121
1,134
1,140
1,150
1,162
1,172
2,34
2,35
2,49
2,59
2,70
2,84
2,102
2,103
2,104
2,114
2,148
2,149
2,154
2,183
3,8
3,23
3,30
3,36
3,53
3,83
3,127
3,128
3,138
3,141
3,166
3,184
3,191
4,4
4,6
4,7
4,12
4,22
4,32
4,44
4,51
4,56
4,66
4,88
4,108
4,133
4,169
4,194
5,20
5,28
5,38
5,42
5,43
5,65
5,68
5,77
5,90
5,94
5,95
5,105
5,155
5,156
5,157
5,163
5,196
6,18
6,27
6,52
6,73
6,78
6,110
6,117
6,123
6,131
6,171
6,197
profession,ID
1,2
1,3
1,5
1,24
1,31
1,33
1,48
1,81
1,85
1,86
1,87
1,97
1,99
1,118
1,121
1,134
1,140
1,150
1,162
1,172
2,34
2,35
2,49
2,59
2,70
2,84
2,102
2,103
2,104
2,114
2,148
2,149
2,154
2,183
3,8
3,23
3,30
3,36
3,53
3,83
3,127
3,128
3,138
3,141
3,166
3,184
3,191
4,4
4,6
4,7
4,12
4,22
4,32
4,44
4,51
4,56
4,66
4,88
4,108
4,133
4,169
4,194
5,20
5,28
5,38
5,42
5,43
5,65
5,68
5,77
5,90
5,94
5,95
5,105
5,155
5,156
5,157
5,163
5,196
6,18
6,27
6,52
6,73
6,78
6,110
6,117
6,123
6,131
6,171
6,197
profession,ID
1,2
1,3
1,5
1,24
1,31
1,33
1,48
1,81
1,85
1,86
1,87
1,97
1,99
1,118
1,121
1,134
1,140
1,150
1,162
1,172
2,34
2,35
2,49
2,59
2,70
2,84
2,102
2,103
2,104
2,114
2,148
2,149
2,154
2,183
3,8
3,23
3,30
3,36
3,53
3,83
3,127
3,128
3,138
3,141
3,166
3,184
3,191
4,4
4,6
4,7
4,12
4,22
4,32
4,44
4,51
4,56
4,66
4,88
4,108
4,133
4,169
4,194
5,20
5,28
5,38
5,42
5,43
5,65
5,68
