profession,ID
1,639
1,664
1,1222
1,1234
1,1240
1,1245
1,1247
1,1256
1,1257
1,1278
1,1295
1,1313
1,1327
1,1332
1,1341
1,1346
2,460
2,552
2,565
2,613
2,618
2,660
2,1102
2,1197
2,1200
2,1241
2,1262
2,1272
2,1277
2,1284
2,1290
2,1299
2,1320
2,1326
2,1337
3,436
3,503
3,563
3,1211
5,15
5,39
5,64
5,101
5,129
5,143
5,829
5,838
5,876
5,888
5,916
5,919
5,935
5,937
5,947
6,9
6,62
6,79
6,130
6,132
6,854
6,859
6,863
6,879
6,896
6,922
6,927
6,955
7,13
7,14
7,60
7,115
7,126
7,146
7,151
7,817
7,823
7,856
7,857
7,858
7,874
7,882
7,891
7,895
7,901
7,926
7,945
7,949
8,1
8,47
8,63
8,69
8,75
8,89
8,100
8,144
8,819
8,828
8,841
8,843
8,892
8,902
8,924
8,925
8,941
8,954
