profession,ID
1,1055
1,1081
1,1106
1,1119
1,1166
1,1180
1,1264
1,1291
1,1293
2,777
2,1062
2,1069
2,1105
2,1176
2,1382
2,1433
3,839
3,881
3,898
3,1379
3,1387
3,1402
3,1403
3,1407
3,1420
3,1430
3,1434
3,1441
3,1443
3,1453
3,1462
3,1476
3,1483
3,1497
3,1499
4,818
4,853
4,860
4,1374
4,1400
4,1406
4,1421
4,1439
4,1448
4,1449
4,1454
4,1481
5,816
5,822
5,845
5,867
5,905
5,918
5,1393
5,1394
5,1398
5,1432
5,1436
5,1469
5,1470
5,1480
5,1487
5,1488
5,1490
5,1500
6,868
6,883
6,884
6,907
6,915
6,1389
6,1397
6,1411
6,1427
6,1435
6,1445
6,1466
6,1477
6,1479
6,1498
7,774
7,1378
7,1383
7,1391
7,1405
7,1408
7,1413
7,1426
7,1461
7,1472
7,1495
8,806
8,820
8,903
8,1376
8,1395
8,1396
8,1399
8,1429
8,1442
8,1446
8,1447
8,1456
8,1473
8,1492
