profession,ID
1,911
2,832
2,921
2,934
2,983
2,1385
2,1460
2,1485
2,1493
3,1120
3,1143
3,1164
3,1188
3,1191
3,1208
3,1213
3,1219
3,1221
4,385
4,388
4,391
4,440
4,444
4,571
4,579
4,1107
4,1112
4,1118
4,1121
4,1132
4,1136
4,1144
4,1147
4,1151
4,1155
4,1156
4,1158
4,1168
4,1178
4,1199
4,1212
4,1220
5,414
5,483
5,524
5,530
5,1129
5,1131
5,1135
5,1153
5,1174
5,1175
5,1179
5,1192
5,1196
5,1201
5,1214
5,1215
6,417
6,423
6,449
6,491
6,514
6,541
6,556
6,1095
6,1104
6,1115
6,1124
6,1128
6,1141
6,1150
6,1167
6,1170
6,1194
6,1198
6,1217
6,1218
7,113
7,452
7,456
7,487
7,560
7,572
7,1096
7,1101
7,1110
7,1122
7,1157
7,1177
7,1183
8,443
8,469
8,528
8,557
8,1100
8,1138
8,1163
8,1171
8,1172
8,1181
8,1193
8,1205
8,1210
8,1224
