profession,ID
1,10
1,11
1,26
1,72
1,109
1,116
1,122
1,135
1,792
1,795
1,800
1,803
1,824
1,826
1,846
1,851
1,855
1,871
1,877
1,887
1,890
1,897
1,900
1,933
2,111
2,112
2,799
2,802
2,825
2,842
2,850
2,862
2,864
2,865
2,869
2,870
2,872
2,899
2,908
2,909
2,912
2,930
2,931
3,17
3,50
3,71
3,794
3,805
3,840
3,847
3,889
3,894
3,904
3,910
3,913
4,57
4,729
4,734
4,744
4,796
4,808
4,815
4,821
4,827
4,844
4,848
4,849
4,852
4,861
4,866
4,906
7,239
7,250
7,254
7,260
7,264
7,279
7,335
7,358
7,372
7,377
7,378
7,392
7,395
7,397
7,408
7,413
8,252
8,256
8,273
8,275
8,288
8,316
8,322
8,330
8,338
8,346
8,351
8,373
8,374
8,383
8,384
8,398
8,402
8,407
