profession,ID
1,181
1,195
1,261
1,276
1,963
1,998
1,1000
1,1008
1,1019
1,1022
1,1039
1,1040
1,1043
2,216
2,217
2,290
2,291
2,302
2,943
2,951
2,970
2,1010
2,1020
2,1042
2,1048
2,1056
2,1064
2,1071
3,96
3,177
3,186
3,268
3,274
3,325
3,914
3,917
3,944
3,950
3,952
3,957
3,978
3,987
3,991
3,1007
3,1012
3,1015
3,1038
3,1049
3,1057
3,1072
4,74
4,98
4,142
4,170
4,189
4,206
4,243
4,281
4,307
4,754
4,807
4,873
4,875
4,932
4,946
4,989
4,1004
4,1054
5,599
5,831
5,948
6,451
6,553
7,429
7,431
7,482
7,485
7,495
7,527
7,531
7,533
7,549
7,586
7,588
7,595
7,602
7,610
7,611
7,625
8,432
8,434
8,442
8,450
8,467
8,470
8,472
8,486
8,494
8,497
8,539
8,546
8,568
8,605
8,616
8,622
profession,ID
1,181
1,195
1,261
1,276
1,963
1,998
1,1000
1,1008
1,1019
1,1022
1,1039
1,1040
1,1043
2,216
2,217
2,290
2,291
2,302
2,943
2,951
2,970
2,1010
2,1020
2,1042
2,1048
2,1056
2,1064
2,1071
3,96
3,177
3,186
3,268
3,274
3,325
3,914
3,917
3,944
3,950
3,952
3,957
3,978
3,987
3,991
3,1007
3,1012
3,1015
3,1038
3,1049
3,1057
3,1072
3,1074
4,74
4,98
4,142
4,170
4,189
4,206
4,243
4,307
4,754
4,807
4,873
4,875
4,932
4,946
4,989
4,1004
4,1054
5,599
5,831
5,948
6,451
6,553
7,429
7,431
7,482
7,485
7,495
7,527
7,531
7,533
7,549
7,586
7,588
7,595
7,602
7,610
7,611
7,625
8,432
8,434
8,442
8,450
8,467
8,470
8,472
8,486
8,494
8,497
8,539
8,546
8,568
8,605
8,616
8,622
profession,ID
1,181
1,195
1,261
1,276
1,963
1,998
1,1000
1,1008
1,1019
1,1022
1,1039
1,1040
1,1043
2,216
2,217
2,290
2,291
2,302
2,943
2,951
2,970
2,1010
2,1020
2,1042
2,1048
2,1056
2,1064
2,1071
3,96
3,177
3,186
3,268
3,274
3,325
3,914
3,917
3,944
3,950
3,952
3,957
3,978
3,987
3,991
3,1007
3,1012
3,1015
3,1038
3,1049
3,1057
3,1072
3,1074
4,74
4,98
4,142
4,170
4,189
4,206
4,243
4,307
4,754
4,807
4,873
4,875
4,932
4,946
4,989
4,1004
4,1054
5,599
5,831
5,948
6,451
6,553
7,429
7,431
7,482
7,485
7,495
7,527
7,531
7,533
7,549
7,586
7,588
7,595
7,602
7,610
7,611
7,625
8,432
8,434
8,442
8,450
8,467
8,470
8,472
8,486
8,494
8,497
8,539
8,546
8,568
8,605
8,616
8,622
profession,ID
1,181
1,195
1,261
1,276
1,963
1,998
1,1000
1,1008
1,1019
1,1022
1,1039
1,1040
1,1043
2,216
2,217
2,290
2,291
2,302
2,943
2,951
2,970
2,1010
2,1020
2,1042
2,1048
2,1056
2,1064
2,1071
3,96
3,177
3,186
3,268
3,274
3,325
3,914
3,917
3,944
3,950
3,952
3,957
3,978
3,987
3,991
3,1007
3,1012
3,1015
3,1038
3,1049
3,1057
3,1072
3,1074
4,74
4,98
4,142
4,170
4,189
4,206
4,243
4,307
4,754
4,807
4,873
4,875
4,932
4,946
4,989
4,1004
4,1054
5,599
5,831
5,948
6,451
6,553
7,429
7,431
7,482
7,485
7,495
7,527
7,531
7,533
7,549
7,586
7,588
7,595
7,602
7,610
7,611
7,625
8,432
8,434
8,442
8,450
8,467
8,470
8,472
8,486
8,494
8,497
8,539
8,546
8,568
8,605
8,616
8,622
profession,ID
1,181
1,195
1,261
1,276
1,963
1,998
1,1000
1,1008
1,1019
1,1022
1,1039
1,1040
1,1043
2,216
2,217
2,290
2,291
2,302
2,943
2,951
2,970
2,1010
2,1020
2,1042
2,1048
2,1056
2,1064
2,1071
3,96
3,177
3,186
3,268
3,274
3,325
3,914
3,917
3,944
3,950
3,952
3,957
3,978
3,987
3,991
3,1007
3,1012
3,1015
3,1038
3,1049
3,1057
3,1072
3,1074
4,74
4,98
4,142
4,170
4,189
4,206
4,243
4,307
4,754
4,807
4,873
4,875
4,932
4,946
4,989
4,1004
4,1054
5,599
5,831
5,948
6,451
6,553
7,429
7,431
7,482
7,485
7,495
7,527
7,531
7,533
7,549
7,586
7,588
7,595
7,602
7,610
7,611
